City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
79,Port Blair,IN,11.6667,92.75,80.51,84,100,8.93,overcast clouds
80,Papara,BR,-3.9839,-38.7273,87.73,50,99,10.83,overcast clouds
81,Strezhevoy,RU,60.7333,77.5889,35.58,91,100,13.8,overcast clouds
82,Cidreira,BR,-30.1811,-50.2056,66.45,62,5,9.17,clear sky
83,Kavieng,PG,-2.5744,150.7967,82.4,79,24,14.65,light rain
84,Pisco,PE,-13.7,-76.2167,69.03,77,0,10.36,clear sky
85,Puerto Ayora,EC,-0.7393,-90.3518,73.36,72,56,11.14,broken clouds
86,Churapcha,RU,62.0025,132.4325,-4.09,100,100,4.07,overcast clouds
87,Ketchikan,US,55.3422,-131.6461,39.67,93,75,0.0,broken clouds
88,Kostomuksha,RU,64.571,30.5767,26.78,93,96,7.76,overcast clouds
89,Xichang,CN,27.8964,102.2634,43.83,78,81,3.29,broken clouds
90,Sandwick,GB,60.0,-1.25,44.42,76,75,8.05,broken clouds
91,Mataura,NZ,-46.1927,168.8643,49.48,88,51,1.72,broken clouds
92,Port Elizabeth,ZA,-33.918,25.5701,61.11,85,100,5.14,light rain
93,Moyale,KE,3.5167,39.0584,71.06,65,80,4.9,broken clouds
94,Jamestown,US,42.097,-79.2353,59.29,44,1,6.91,clear sky
95,Saldanha,ZA,-33.0117,17.9442,60.71,72,100,20.69,overcast clouds
96,Palmer,US,42.1584,-72.3287,58.39,35,92,1.95,overcast clouds
97,Ornskoldsvik,SE,63.2909,18.7153,30.02,80,0,10.36,clear sky
98,Canutama,BR,-6.5339,-64.3831,91.22,49,100,2.89,overcast clouds
99,Katsuura,JP,35.1333,140.3,58.1,67,0,15.57,clear sky
100,Nizwa,OM,22.9333,57.5333,75.16,38,47,10.76,scattered clouds
101,Pacific Grove,US,36.6177,-121.9166,63.43,63,1,1.01,clear sky
102,Sinnamary,GF,5.3833,-52.95,82.6,75,71,11.79,broken clouds
103,Bulgan,MN,48.8125,103.5347,14.97,75,8,3.85,clear sky
104,Tirau,NZ,-37.9833,175.75,60.37,93,15,0.27,few clouds
105,Puerto Lleras,CO,3.0223,-73.4044,87.89,53,100,4.79,overcast clouds
106,Najran,SA,17.4924,44.1277,65.7,21,3,2.39,clear sky
107,Kahului,US,20.8947,-156.47,80.62,75,20,13.8,few clouds
108,Haines Junction,CA,60.7522,-137.5108,19.99,65,88,2.3,overcast clouds
109,Kiomboi,TZ,-4.2667,34.3667,72.21,25,100,7.4,overcast clouds
110,Lianyuan,CN,27.6883,111.6642,42.98,74,40,2.08,scattered clouds
111,Gazojak,TM,41.1875,61.4036,38.71,21,53,5.21,broken clouds
112,Keningau,MY,5.3378,116.1602,73.85,99,75,0.96,broken clouds
113,Dovers,VC,12.8833,-61.1833,81.79,76,58,15.59,broken clouds
114,Batagay,RU,67.6333,134.6333,-19.8,94,8,5.57,clear sky
115,Dikson,RU,73.5069,80.5464,11.21,96,96,3.38,overcast clouds
116,San Matias,BO,-16.3667,-58.4,85.55,48,71,4.34,broken clouds
117,Balykshi,KZ,47.0667,51.8667,35.6,60,40,8.95,scattered clouds
118,Vilyuysk,RU,63.7553,121.6247,16.3,92,100,9.46,overcast clouds
119,Ilulissat,GL,69.2167,-51.1,19.42,63,100,17.27,overcast clouds
120,Barrow,US,71.2906,-156.7887,26.62,74,90,13.8,overcast clouds
121,Lakes Entrance,AU,-37.8811,147.981,55.17,81,100,5.61,overcast clouds
122,Leh,IN,34.1667,77.5833,20.16,60,0,2.84,clear sky
123,Salalah,OM,17.0151,54.0924,78.89,57,0,4.61,clear sky
